编号,菜名,分类,配料 (g),适用餐次,口味,预计成本/份,热量 (kcal),蛋白质 (g),脂肪 (g),碳水 (g),标签
735,萝卜玉米汤,煲汤菜系,"白萝卜(100g), 玉米(100g), 猪骨汤底(300g), 盐(2g), 姜(5g), 葱(2g)","午餐, 晚餐",清淡,3.5,85,2.5,1.2,18,汤类
736,葱油拌面,煲汤菜系,"面条(150g), 葱(20g), 食用油(10g), 酱油(10g)","午餐, 晚餐",葱香,2.5,350,8,12,55,汤类
737,虾仁豆腐汤,煲汤菜系,"虾仁(50g), 嫩豆腐(150g), 水(300g), 葱(5g), 姜(3g), 盐(2g), 白胡椒粉(0.5g), 食用油(3g), 淀粉(2g)","午餐, 晚餐",清淡,4.5,120,12,5,6,汤类
738,蛋挞,煲汤菜系,"蛋挞皮(35g), 鸡蛋液(30g), 牛奶(15g), 淡奶油(15g), 白砂糖(8g)","午餐, 晚餐",清淡,1.8,185,4,11,18,汤类
739,豆腐三鲜汤,煲汤菜系,"嫩豆腐(200g), 鸡蛋(50g), 虾仁(30g), 水发木耳(20g), 火腿片(15g), 青菜(30g), 葱花(5g), 姜末(3g), 食盐(4g), 白胡椒粉(0.5g), 芝麻油(2g), 食用油(5g), 水或高汤(400g)","午餐, 晚餐",清淡,3.8,185,14.5,9.2,8.6,汤类
740,酸萝卜老鸭汤,煲汤菜系,"鸭肉(200g), 酸萝卜(80g), 姜(10g), 葱(5g), 料酒(5g), 盐(3g), 水(500g)","午餐, 晚餐",清淡,8.5,320,28,20,6,汤类
741,酸辣汤,煲汤菜系,"水(400g), 豆腐(50g), 木耳(10g), 胡萝卜(20g), 鸡蛋(30g), 醋(15g), 酱油(8g), 白胡椒粉(1g), 盐(3g), 淀粉(10g), 香油(2g), 香菜(5g)","午餐, 晚餐",酸辣,2.8,85,6.5,3.2,8,汤类
742,韭菜盒子,煲汤菜系,"韭菜(120g), 鸡蛋(80g), 虾皮(10g), 粉丝(30g), 面粉(120g), 食用油(20g), 盐(2g), 五香粉(1g)","午餐, 晚餐",清淡,3.5,420,15,18,52,汤类
743,饺子,煲汤菜系,"饺子皮(60g), 猪肉(40g), 白菜(30g), 葱(5g), 姜(3g), 酱油(5g), 食用油(5g), 盐(2g)","午餐, 晚餐",清淡,3.2,250,10.5,8.5,32,汤类
744,三色玉米粒,蔬菜菜系,"甜玉米粒(100g), 青豆(30g), 胡萝卜丁(30g), 食用油(8g), 盐(2g), 糖(1g)","午餐, 晚餐",咸鲜,2.8,185,4.5,5.2,30.6,素菜
745,上汤娃娃菜,蔬菜菜系,"娃娃菜(200g), 皮蛋(30g), 咸鸭蛋(30g), 火腿(20g), 蒜(10g), 姜(5g), 食用油(5g), 高汤(300g), 盐(2g), 糖(1g), 白胡椒粉(0.5g)","午餐, 晚餐",清淡,4.2,120,7.5,8,6.5,汤类
746,丝瓜炒鸡蛋,蔬菜菜系,"丝瓜(150g), 鸡蛋液(100g), 葱(5g), 姜(5g), 食用油(15g), 盐(3g), 味精/鸡精(1g)","午餐, 晚餐",咸鲜,2.8,185,9.5,13.2,6.5,素菜
747,两亩地,蔬菜菜系,"玉米粒(80g), 青豆(80g), 猪里脊肉(50g), 胡萝卜丁(30g), 食用油(15g), 盐(3g), 糖(2g), 淀粉(5g)","午餐, 晚餐",咸鲜,3.8,320,15,12,38,素菜
748,傣味洋芋,蔬菜菜系,"土豆(200g), 小米辣(10g), 香菜(15g), 大蒜(10g), 青柠檬汁(15g), 鱼露(10g), 盐(2g), 糖(3g), 食用油(15g)","午餐, 晚餐",咸鲜,2.8,185,2.8,6.5,29.5,素菜
749,凉拌三丝,蔬菜菜系,"海带丝(50g), 胡萝卜丝(30g), 黄瓜丝(30g), 蒜末(5g), 香菜(5g), 香醋(10g), 生抽(10g), 香油(5g), 白糖(3g), 食盐(2g)","午餐, 晚餐",咸鲜,2.5,85,2.5,3.2,12.8,素菜
750,凉拌人工菌,蔬菜菜系,"人工菌(150g), 豆皮(50g), 蒜末(10g), 小米椒(5g), 香菜(5g), 生抽(15g), 香醋(10g), 白糖(5g), 香油(5g), 辣椒油(8g), 食盐(2g)","午餐, 晚餐",咸鲜,3.5,210,12,9,22,素菜
751,凉拌木耳,蔬菜菜系,"木耳(干)(20g), 蒜(10g), 小米辣(5g), 香菜(5g), 生抽(15g), 香醋(10g), 白糖(3g), 香油(5g), 食盐(2g), 食用油(5g)","午餐, 晚餐",咸鲜,1.8,85,2.5,4.5,9.2,素菜
752,凉拌海带丝,蔬菜菜系,"海带丝(100g), 胡萝卜(20g), 香菜(5g), 蒜(5g), 生抽(10g), 香醋(8g), 白糖(3g), 香油(2g), 辣椒油(3g), 盐(1g)","午餐, 晚餐",咸鲜,1.2,85,1.5,4.2,10.5,素菜
753,凉拌碗豆粉,蔬菜菜系,"碗豆粉干粉(100g), 饮用水(600g), 黄瓜丝(80g), 胡萝卜丝(30g), 香菜(10g), 蒜末(15g), 小米辣(5g), 生抽(20g), 香醋(15g), 辣椒油(15g), 花椒油(3g), 白糖(5g), 盐(2g)","午餐, 晚餐",咸鲜,3.8,320,8.5,10.2,48.6,素菜
754,凉拌茄子,蔬菜菜系,"茄子(200g), 大蒜(15g), 小葱(10g), 香菜(5g), 生抽(15g), 香醋(10g), 香油(5g), 白糖(3g), 辣椒油(5g), 盐(2g)","午餐, 晚餐",咸鲜,2.5,120,2.5,7,12.5,素菜
755,凉拌藕丁,蔬菜菜系,"藕丁(200g), 葱(10g), 蒜(5g), 小米辣(5g), 香菜(5g), 食用油(10g), 香醋(15g), 生抽(15g), 白糖(5g), 盐(2g)","午餐, 晚餐",咸鲜,3.2,180,3.5,5.2,30.8,素菜
756,凉拌黄瓜,蔬菜菜系,"黄瓜(300g), 大蒜(10g), 生抽(15g), 香醋(10g), 白糖(5g), 香油(5g), 辣椒油(5g)","午餐, 晚餐",咸鲜,2.5,75,2,4.5,8,素菜
757,剁椒冬瓜,蔬菜菜系,"冬瓜(500g), 剁椒酱(30g), 蒜末(10g), 姜末(5g), 食用油(15g), 盐(2g), 糖(2g), 葱花(5g)","午餐, 晚餐",麻辣,2.8,135,1.5,9.2,12,素菜
758,剁椒芽白,蔬菜菜系,"芽白(200g), 剁椒(30g), 大蒜(10g), 食用油(15g)","午餐, 晚餐",麻辣,1.5,80,2.5,4.5,8,素菜
759,劈腿茄子,蔬菜菜系,"茄子(400g), 面粉(100g), 面包糠(80g), 鸡蛋(60g), 食用油(40g), 番茄酱(30g), 蒜末(15g), 盐(3g), 五香粉(2g), 糖(2g)","午餐, 晚餐",咸鲜,4.5,520,12,25,65,素菜
760,卤豆腐,蔬菜菜系,"卤豆腐(200g), 卤水汁(30g), 食用油(5g), 八角(1g), 桂皮(1g), 干辣椒(1g), 生抽(10g), 老抽(5g), 冰糖(5g), 水(100g)","午餐, 晚餐",咸鲜,2.8,220,15,12,10,素菜
761,双椒培根,蔬菜菜系,"培根(80g), 青椒(50g), 红椒(50g), 大蒜(10g), 食用油(15g), 生抽(10g), 盐(2g), 糖(2g)","午餐, 晚餐",咸鲜,4.8,285,10.5,22,8.5,素菜
762,双椒茄丁,蔬菜菜系,"茄子(400g), 青椒(50g), 红椒(50g), 蒜(15g), 姜(10g), 食用油(20g), 酱油(15g), 盐(3g), 糖(2g), 淀粉(5g)","午餐, 晚餐",咸鲜,4.8,245,4.2,14.5,26.3,素菜
763,双椒藕丁,蔬菜菜系,"莲藕(200g), 青椒(30g), 红椒(30g), 大蒜(10g), 食用油(15g), 盐(3g), 鸡精(2g)","午餐, 晚餐",咸鲜,3.5,180,3.5,9.5,20.5,素菜
764,口味山药,蔬菜菜系,"山药(300g), 青椒(20g), 红椒(20g), 葱(10g), 姜(5g), 蒜(5g), 食用油(15g), 盐(3g), 糖(2g), 白醋(5g)","午餐, 晚餐",咸鲜,4.2,185,3.5,8.2,26.5,素菜
765,口味海带丝,蔬菜菜系,"海带丝(200g), 蒜末(15g), 小米椒(5g), 香菜(10g), 生抽(20g), 香醋(15g), 白糖(8g), 芝麻油(5g), 辣椒油(5g), 熟白芝麻(2g)","午餐, 晚餐",咸鲜,2.8,120,2.5,6.5,12,素菜
766,四喜丸子,蔬菜菜系,"猪肉馅(400g), 荸荠(50g), 葱(20g), 姜(10g), 鸡蛋(50g), 淀粉(30g), 食用油(20g), 酱油(15g), 料酒(10g), 盐(5g), 糖(5g), 高汤(100g), 青菜(50g)","午餐, 晚餐",咸鲜,8.5,450,25,30,20,素菜
767,回锅洋芋片,蔬菜菜系,"土豆(200g), 青蒜苗(30g), 干辣椒(5g), 花椒(2g), 姜(5g), 蒜(10g), 食用油(15g), 郫县豆瓣酱(15g), 生抽(5g), 糖(2g), 盐(1g)","午餐, 晚餐",咸鲜,2.8,285,4.2,12.5,38.6,素菜
768,回锅藕片,蔬菜菜系,"莲藕(200g), 青椒(30g), 红椒(20g), 蒜(10g), 食用油(15g), 郫县豆瓣酱(15g), 生抽(5g), 白糖(3g)","午餐, 晚餐",咸鲜,4.2,235,3.5,12.5,26.8,素菜
769,地三鲜,蔬菜菜系,"土豆(250g), 茄子(200g), 青椒(100g), 蒜(15g), 葱(10g), 食用油(30g), 酱油(15g), 盐(3g), 糖(2g), 淀粉(5g)","午餐, 晚餐",咸鲜,3.8,420,6,22,50,素菜
770,大葱炒鸡蛋,蔬菜菜系,"鸡蛋(100g), 大葱(50g), 食用油(15g), 盐(2g)","午餐, 晚餐",咸鲜,2.5,225,12.5,18,3.5,素菜
771,姜柄瓜炖洋芋,蔬菜菜系,"姜柄瓜(200g), 土豆(150g), 猪五花肉(50g), 葱(5g), 姜(5g), 蒜(5g), 食用油(10g), 盐(3g), 酱油(5g)","午餐, 晚餐",清淡,3.8,285,6.5,12,35,汤类
772,姜汁缸豆,蔬菜菜系,"豇豆(200g), 姜(20g), 蒜(10g), 食用油(15g), 盐(3g), 糖(2g), 醋(5g)","午餐, 晚餐",咸鲜,2.8,150,5.5,7.2,16.5,素菜
773,孜然有机花菜,蔬菜菜系,"有机花菜(200g), 猪肉片(50g), 青椒(30g), 红椒(30g), 洋葱(20g), 大蒜(10g), 食用油(15g), 生抽(10g), 孜然粉(5g), 盐(2g), 糖(2g)","午餐, 晚餐",孜然,6.5,320,12,18,25,素菜
774,宫爆豆腐,蔬菜菜系,"豆腐(200g), 花生米(30g), 干辣椒(5g), 花椒(2g), 大葱丁(15g), 姜末(5g), 蒜末(5g), 食用油(20g), 酱油(15g), 醋(10g), 白糖(12g), 盐(2g), 淀粉(5g)","午餐, 晚餐",咸鲜,4.2,320,15.5,22,18.5,素菜
775,密汁红芋,蔬菜菜系,"红芋/红薯(200g), 冰糖(30g), 蜂蜜(15g), 食用油(5g), 水(适量)","午餐, 晚餐",咸鲜,2.8,280,2,1.5,65,素菜
776,小炒原味豆皮,蔬菜菜系,"豆皮(120g), 青椒(30g), 红椒(30g), 木耳(20g), 猪肉(50g), 葱(10g), 姜(5g), 蒜(10g), 食用油(15g), 生抽(10g), 老抽(5g), 盐(2g), 糖(2g), 淀粉(3g)","午餐, 晚餐",咸鲜,4.5,320,18.5,20.5,15.2,素菜
777,小炒手工腐竹,蔬菜菜系,"手工腐竹(100g), 猪肉丝(50g), 青椒(30g), 红椒(20g), 干木耳(10g), 大蒜(10g), 姜(5g), 食用油(15g), 生抽(10g), 老抽(3g), 盐(2g), 糖(1g)","午餐, 晚餐",咸鲜,4.8,312,20.5,18.2,15.3,素菜
778,小炒杏鲍菇,蔬菜菜系,"杏鲍菇(300g), 青椒(50g), 红椒(50g), 蒜(10g), 食用油(15g), 酱油(15g), 盐(3g), 糖(2g)","午餐, 晚餐",咸鲜,4.5,185,6.5,9.2,20.8,素菜
779,小炒青菜,蔬菜菜系,"小青菜(150g), 蒜(10g), 食用油(8g), 盐(2g)","午餐, 晚餐",咸鲜,1.2,80,2,5,6,素菜
780,小米辣花菜,蔬菜菜系,"花菜(150g), 小米椒(10g), 蒜末(5g), 食用油(15g), 盐(2g), 鸡精(1g), 生抽(5g)","午餐, 晚餐",咸鲜,2.8,120,3.5,8.2,9.6,素菜
781,川式咸皮蛋,蔬菜菜系,"皮蛋(60g), 青椒(20g), 红椒(20g), 蒜末(10g), 姜末(5g), 食用油(15g), 酱油(8g), 醋(5g), 糖(3g), 盐(1g)","午餐, 晚餐",咸鲜,3.2,120,7.5,8.2,5,素菜
782,干椒小白菜,蔬菜菜系,"小白菜(300g), 干辣椒(5g), 大蒜(10g), 食用油(15g), 盐(3g), 鸡精(2g)","午餐, 晚餐",咸鲜,2.5,120,4.5,9.2,6.8,素菜
783,干煸四季豆,蔬菜菜系,"四季豆(200g), 猪肉末(50g), 干辣椒(5g), 花椒(2g), 蒜末(10g), 姜末(5g), 食用油(20g), 生抽(10g), 盐(2g), 糖(2g)","午餐, 晚餐",咸鲜,6.5,320,12,22,18,素菜
784,干煸土豆,蔬菜菜系,"土豆(300g), 干辣椒(5g), 花椒(3g), 蒜(10g), 姜(5g), 葱(10g), 食用油(30g), 盐(3g), 糖(2g), 生抽(10g), 白芝麻(2g)","午餐, 晚餐",咸鲜,3.5,450,6,20,60,素菜
785,干煸苦瓜,蔬菜菜系,"苦瓜(200g), 猪肉末(40g), 干辣椒(5g), 花椒(2g), 大蒜(10g), 姜(5g), 葱(10g), 食用油(20g), 生抽(10g), 盐(2g), 糖(2g)","午餐, 晚餐",咸鲜,3.8,185,6.5,12.5,10.2,素菜
786,干锅包菜,蔬菜菜系,"包菜(200g), 五花肉片(50g), 干辣椒(5g), 大蒜(10g), 生姜(5g), 食用油(20g), 生抽(15g), 老抽(5g), 糖(3g), 盐(2g)","午餐, 晚餐",麻辣,6.5,320,8,25,15,素菜
787,干锅土豆片,蔬菜菜系,"土豆片(300g), 五花肉片(50g), 青椒(30g), 红椒(30g), 洋葱(30g), 大蒜(15g), 生姜(10g), 干辣椒(5g), 花椒(2g), 食用油(20g), 生抽(15g), 老抽(5g), 盐(3g), 糖(2g), 鸡精(1g)","午餐, 晚餐",麻辣,6.8,420,8.5,22,45,素菜
788,干锅平包菜,蔬菜菜系,"平包菜(300g), 五花肉片(50g), 干辣椒(5g), 大蒜(10g), 生姜(5g), 食用油(20g), 生抽(10g), 老抽(3g), 白糖(5g), 盐(2g)","午餐, 晚餐",麻辣,8.5,320,9,22,18,素菜
789,干锅花菜,蔬菜菜系,"花菜(250g), 五花肉片(50g), 青红椒(30g), 蒜(15g), 姜(10g), 葱(10g), 干辣椒(5g), 花椒(2g), 食用油(20g), 生抽(15g), 老抽(5g), 糖(3g), 盐(2g)","午餐, 晚餐",麻辣,8.5,420,12,30,25,素菜
790,干锅茶树菇,蔬菜菜系,"干茶树菇(80g), 五花肉(50g), 青椒(30g), 红椒(30g), 洋葱(30g), 大蒜(20g), 生姜(10g), 食用油(20g), 干辣椒(5g), 花椒(2g), 生抽(15g), 老抽(5g), 糖(3g), 盐(2g)","午餐, 晚餐",麻辣,8.5,320,12,22,18,素菜
791,手撕莲花白,蔬菜菜系,"莲花白(200g), 干辣椒(2g), 花椒(1g), 蒜(5g), 姜(3g), 食用油(15g), 盐(2g), 糖(1g), 香醋(5g)","午餐, 晚餐",咸鲜,1.8,135,2.5,10.2,8.6,素菜
792,拔丝地瓜,蔬菜菜系,"地瓜(200g), 白砂糖(70g), 食用油(50g), 清水(30g), 熟白芝麻(5g)","午餐, 晚餐",咸鲜,3.8,435,2.5,18,68,素菜
793,捞汁秋葵,蔬菜菜系,"秋葵(150g), 小米椒(10g), 蒜末(20g), 生抽(30g), 香醋(15g), 蚝油(10g), 白糖(5g), 香油(5g), 饮用水(50g)","午餐, 晚餐",咸鲜,2.8,95,3.5,2.8,15.2,素菜
794,捞汁虎皮椒,蔬菜菜系,"青尖椒(200g), 蒜末(10g), 姜末(5g), 生抽(20g), 香醋(15g), 蚝油(10g), 白糖(8g), 食用油(15g), 芝麻油(3g), 熟白芝麻(2g)","午餐, 晚餐",咸鲜,3.2,180,3.5,12,15,素菜
795,擂辣椒皮蛋,蔬菜菜系,"青尖椒(150g), 皮蛋(80g), 大蒜(15g), 生抽(10g), 香醋(5g), 香油(5g), 盐(2g), 糖(2g)","午餐, 晚餐",咸鲜,3.5,180,8.5,12,8,素菜
796,散子拌皮蛋,蔬菜菜系,"皮蛋(100g), 散子(50g), 蒜末(10g), 小米椒(5g), 香菜(5g), 生抽(15g), 香醋(10g), 香油(5g)","午餐, 晚餐",咸鲜,3.5,220,10,12,18,素菜
797,木耳鸡蛋,蔬菜菜系,"木耳(50g), 鸡蛋(80g), 食用油(15g), 葱(10g), 盐(2g), 酱油(5g)","午餐, 晚餐",咸鲜,2.8,185,10.5,13.2,5,素菜
798,木须鸡蛋,蔬菜菜系,"鸡蛋(200g), 木耳(干)(20g), 黄瓜(100g), 胡萝卜(50g), 大葱(20g), 姜(5g), 蒜(5g), 食用油(20g), 盐(3g), 生抽(10g), 料酒(5g), 淀粉(2g)","午餐, 晚餐",咸鲜,3.8,320,18,22,12,素菜
799,杂酱烩鸡蛋,蔬菜菜系,"鸡蛋(100g), 猪肉末(80g), 甜面酱(30g), 黄豆酱(20g), 大葱(15g), 姜(5g), 蒜(5g), 食用油(15g), 白糖(5g), 淀粉(3g)","午餐, 晚餐",咸鲜,4.2,320,18,22,12,素菜
800,松仁玉米粒,蔬菜菜系,"玉米粒(150g), 松仁(20g), 青豆粒(30g), 胡萝卜丁(20g), 食用油(10g), 糖(5g), 盐(2g), 淀粉(3g)","午餐, 晚餐",咸鲜,3.5,280,6.5,12.5,35.5,素菜
801,柠檬黄瓜,蔬菜菜系,"黄瓜(200g), 柠檬汁(15g), 蒜末(5g), 盐(2g), 糖(3g), 香油(3g), 红椒丝(5g)","午餐, 晚餐",咸鲜,1.2,45,1.5,1.2,8.5,素菜
802,椒盐包浆豆腐,蔬菜菜系,"包浆豆腐(200g), 椒盐粉(5g), 辣椒粉(3g), 花椒粉(2g), 淀粉(20g), 食用油(15g), 葱花(5g)","午餐, 晚餐",椒盐,3.5,285,12.5,18.2,16.8,素菜
803,椒麻杏鲍菇,蔬菜菜系,"杏鲍菇(200g), 青椒(30g), 红椒(30g), 花椒(5g), 干辣椒(5g), 蒜(10g), 姜(5g), 葱(10g), 食用油(15g), 生抽(10g), 盐(2g), 糖(2g), 淀粉(5g)","午餐, 晚餐",咸鲜,3.5,120,4.5,6.5,12,素菜
804,水腌菜,蔬菜菜系,"水腌菜(100g), 猪油(5g), 干辣椒(2g), 蒜(5g), 盐(1g), 糖(1g), 味精(0.5g)","午餐, 晚餐",咸鲜,1.2,50,1.5,3,5,素菜
805,油焖茄子,蔬菜菜系,"茄子(300g), 猪肉末(80g), 青椒(20g), 红椒(20g), 大蒜(15g), 生姜(10g), 小葱(10g), 食用油(30g), 酱油(15g), 老抽(5g), 白糖(8g), 盐(3g), 淀粉(5g)","午餐, 晚餐",咸鲜,6.5,420,12,28,30,素菜
806,油爆双脆,蔬菜菜系,"猪肚(200g), 鸡胗(150g), 大葱(30g), 生姜(15g), 大蒜(15g), 食用油(30g), 料酒(15g), 酱油(20g), 醋(10g), 白糖(10g), 淀粉(15g), 盐(3g), 胡椒粉(1g)","午餐, 晚餐",咸鲜,12.5,420,35,25,15,素菜
807,油爆辣椒,蔬菜菜系,"青椒(200g), 大蒜(10g), 食用油(15g), 生抽(15g), 糖(5g), 醋(5g), 盐(2g)","午餐, 晚餐",咸鲜,2.8,155,2.5,11.5,11,素菜
808,泡椒藕枣,蔬菜菜系,"莲藕(120g), 猪肉末(80g), 泡椒(20g), 姜(5g), 蒜(5g), 葱(10g), 食用油(15g), 酱油(8g), 料酒(5g), 淀粉(10g), 盐(2g), 糖(3g)","午餐, 晚餐",麻辣,,280,12,18,20,素菜
809,泡椒西葫芦,蔬菜菜系,"西葫芦(200g), 泡椒(20g), 大蒜(10g), 食用油(15g), 盐(2g), 糖(1g)","午餐, 晚餐",麻辣,2.5,95,1.8,7.2,6.5,素菜
810,泡椒豆腐脑花,蔬菜菜系,"豆腐脑(300g), 猪脑花(150g), 泡椒(50g), 泡姜(20g), 蒜(15g), 葱(10g), 食用油(20g), 酱油(10g), 料酒(10g), 淀粉(5g), 盐及调味料(适量)","早餐, 午餐, 晚餐",麻辣,8.5,320,18,24,10,素菜
811,泡皮红豆,蔬菜菜系,"泡皮(干)(50g), 红豆(干)(80g), 猪五花肉(50g), 姜(10g), 葱(10g), 食用油(15g), 盐(5g), 酱油(10g), 糖(3g), 水(适量)","午餐, 晚餐",咸鲜,4.2,420,18,25,35,素菜
812,泡菜,蔬菜菜系,"泡菜(100g), 大白菜(500g), 辣椒粉(20g), 蒜(10g), 姜(5g), 盐(15g), 糖(10g), 鱼露(5g), 葱(5g)","午餐, 晚餐",酸辣,2.5,50,2.5,0.5,10,素菜
813,泡蒜,蔬菜菜系,"泡蒜(100g), 盐(5g), 糖(5g), 白醋(20g), 纯净水(30g)","午餐, 晚餐",咸鲜,0.8,45,1.2,0.1,10.5,素菜
814,洋葱炒鸡蛋,蔬菜菜系,"鸡蛋(150g), 洋葱(150g), 食用油(15g), 盐(2g), 葱花(5g)","午餐, 晚餐",咸鲜,2.5,280,14.5,20.5,12,素菜
815,海味全家福,蔬菜菜系,"海参(50g), 虾仁(50g), 干贝(30g), 鱼肚(40g), 鱿鱼(40g), 香菇(30g), 冬笋(30g), 青豆(20g), 胡萝卜(20g), 葱(10g), 姜(10g), 蒜(10g), 食用油(15g), 高汤(200g), 盐(3g), 糖(2g), 料酒(10g), 淀粉(10g)","午餐, 晚餐",咸鲜,28.5,320,32,12,18,素菜
816,清炒小瓜,蔬菜菜系,"小瓜(200g), 大蒜(10g), 食用油(15g), 盐(2g), 鸡精(1g)","午餐, 晚餐",咸鲜,1.8,120,2.5,9.5,8,素菜
817,清炒山药,蔬菜菜系,"山药(200g), 青椒(30g), 红椒(20g), 葱(5g), 姜(3g), 蒜(5g), 食用油(15g), 盐(2g), 糖(1g), 味精(1g)","午餐, 晚餐",咸鲜,3.2,165,2.8,7.2,23.5,素菜
818,清炒莴笋,蔬菜菜系,"莴笋(300g), 大蒜(10g), 食用油(15g), 盐(3g), 鸡精(2g)","午餐, 晚餐",咸鲜,2.5,120,2.5,10,6,素菜
819,清炒菜苔,蔬菜菜系,"菜苔(300g), 蒜(10g), 食用油(15g), 盐(3g)","午餐, 晚餐",咸鲜,3.5,120,4.5,9,8,素菜
820,清炒藕片,蔬菜菜系,"莲藕(200g), 青椒(20g), 红椒(20g), 葱(5g), 姜(5g), 蒜(5g), 食用油(15g), 盐(2g), 鸡精(1g)","午餐, 晚餐",咸鲜,3.2,195,3.5,13.8,16.2,素菜
821,清炒西蓝花,蔬菜菜系,"西蓝花(200g), 大蒜(10g), 食用油(15g), 盐(3g), 鸡精(2g)","午餐, 晚餐",咸鲜,2.8,124,5.2,9.8,6.4,素菜
822,湘西外婆菜,蔬菜菜系,"外婆菜(80g), 猪肉末(50g), 青椒(30g), 红椒(20g), 大蒜(10g), 食用油(15g), 生抽(10g), 老抽(5g), 白糖(2g)","午餐, 晚餐",咸鲜,4.2,245,10.5,16.2,12.8,素菜
823,火爆三脆,蔬菜菜系,"鸭胗(60g), 黄喉(50g), 猪肚(50g), 青椒(20g), 红椒(20g), 泡椒(15g), 葱(10g), 姜(10g), 蒜(10g), 食用油(20g), 料酒(10g), 生抽(10g), 盐(3g), 糖(2g)","午餐, 晚餐",咸鲜,12.5,280,25,15,8,素菜
824,火爆双脆,蔬菜菜系,"猪肚(150g), 鸭胗(150g), 泡椒(20g), 泡姜(20g), 蒜(15g), 葱(15g), 食用油(25g), 料酒(10g), 生抽(10g), 淀粉(5g), 糖(3g), 盐(2g)","午餐, 晚餐",咸鲜,12.5,320,28,18,10,素菜
825,炒三丝,蔬菜菜系,"猪肉丝(80g), 胡萝卜丝(60g), 青椒丝(60g), 笋丝(60g), 食用油(15g), 葱(5g), 姜(5g), 蒜(5g), 盐(2g), 酱油(10g), 料酒(5g), 淀粉(3g)","午餐, 晚餐",咸鲜,6.5,280,15,18,12,素菜
826,炒丝瓜,蔬菜菜系,"丝瓜(200g), 大蒜(10g), 食用油(15g), 盐(2g)","午餐, 晚餐",咸鲜,2.5,120,1.5,10.2,6.8,素菜
827,炒冬瓜,蔬菜菜系,"冬瓜(200g),猪肉(50g),葱(5g),姜(3g),蒜(5g),食用油(15g),盐(2g),酱油(5g),鸡精(1g)","午餐, 晚餐",咸鲜,2.8,185,6.5,13.2,8.5,素菜
828,炒合菜,蔬菜菜系,"豆芽(80g), 韭菜(50g), 鸡蛋(60g), 粉丝(30g), 猪肉丝(40g), 葱(10g), 姜(5g), 蒜(5g), 食用油(15g), 酱油(10g), 盐(2g), 糖(1g)","午餐, 晚餐",咸鲜,4.2,285,12.5,15.8,22.3,素菜
829,炒姜柄瓜丝,蔬菜菜系,"姜柄瓜(300g), 猪肉丝(50g), 青红椒(20g), 蒜(10g), 食用油(15g), 盐(3g), 生抽(5g)","午餐, 晚餐",咸鲜,3.5,180,8.5,10.5,12,素菜
830,炒生菜,蔬菜菜系,"生菜(200g), 蒜末(10g), 食用油(15g), 盐(2g), 糖(1g)","午餐, 晚餐",咸鲜,1.8,120,2.5,10.2,5,素菜
831,炒空心菜,蔬菜菜系,"空心菜(300g), 大蒜(15g), 食用油(15g), 盐(3g), 鸡精(2g)","午餐, 晚餐",咸鲜,3.2,165,4.5,13.5,9,素菜
832,炒菜心,蔬菜菜系,"菜心(200g), 蒜(10g), 食用油(15g), 盐(2g), 鸡精(1g)","午餐, 晚餐",咸鲜,2.5,130,3.5,10.2,7,素菜
833,炒青菜,蔬菜菜系,"青菜(300g), 蒜(15g), 食用油(15g), 盐(3g)","午餐, 晚餐",咸鲜,2.5,140,3.5,10,8,素菜
834,炸人工菌,蔬菜菜系,"人工菌(150g), 面粉(50g), 淀粉(20g), 鸡蛋(30g), 食用油(500g, 耗油约20g), 盐(2g), 椒盐粉(2g)","午餐, 晚餐",咸鲜,2.8,280,5.5,15,28,素菜
835,炸土豆,蔬菜菜系,"土豆(200g), 食用油(20g), 盐(2g), 辣椒粉(3g)","午餐, 晚餐",咸鲜,1.8,320,4,15,40,素菜
836,炸洋芋条,蔬菜菜系,"土豆(200g), 食用油(20g), 盐(2g), 辣椒粉(3g), 花椒粉(1g)","午餐, 晚餐",咸鲜,2.5,320,4,15,42,素菜
837,烧椒皮蛋,蔬菜菜系,"皮蛋(100g), 青尖椒(80g), 蒜(10g), 生抽(15g), 香醋(8g), 香油(5g), 糖(3g), 盐(1g)","午餐, 晚餐",咸鲜,4.2,165,8.5,11.2,7.3,素菜
838,烧椒腐竹,蔬菜菜系,"腐竹(干)(50g), 青椒(100g), 蒜末(10g), 食用油(15g), 生抽(10g), 香醋(5g), 盐(2g), 糖(2g)","午餐, 晚餐",咸鲜,3.2,320,20.5,20.8,16.5,素菜
839,爆炒豆角,蔬菜菜系,"豆角(250g), 猪肉(100g), 大蒜(10g), 姜(5g), 干辣椒(5g), 食用油(20g), 生抽(15g), 盐(3g)","午餐, 晚餐",咸鲜,4.2,320,18,22,15,素菜
840,爆烟熏腊肠,蔬菜菜系,"腊肠(80g), 玉米粒(50g), 土豆条(100g), 青椒(20g), 红椒(20g), 食用油(15g), 盐(2g), 生抽(5g)","午餐, 晚餐",咸鲜,8.5,365,12,22,28,素菜
841,爆茄子泥,蔬菜菜系,"茄子(300g), 猪肉末(50g), 蒜(15g), 姜(10g), 葱(10g), 食用油(20g), 酱油(15g), 醋(5g), 糖(5g), 淀粉(5g)","午餐, 晚餐",咸鲜,4.2,320,12,22,18,素菜
